,B2B_COUNT,3GMS_IN_4DAYS,4GMS_IN_5DAYS,SEASON,TEAM_ABBREVIATION
MIL,22,27,3,2009,MIL
GSW,20,22,2,2009,GSW
MIN,20,24,3,2009,MIN
TOR,21,28,2,2009,TOR
ATL,21,27,2,2009,ATL
BOS,18,26,4,2009,BOS
DET,23,22,4,2009,DET
NYK,18,28,1,2009,NYK
DEN,22,26,3,2009,DEN
SAC,20,23,2,2009,SAC
OKC,18,26,3,2009,OKC
POR,19,31,3,2009,POR
NJN,21,23,2,2009,NJN
MIA,18,24,2,2009,MIA
CHI,23,25,4,2009,CHI
SAS,17,22,2,2009,SAS
CHA,23,21,3,2009,CHA
UTA,19,25,0,2009,UTA
CLE,18,23,2,2009,CLE
HOU,22,23,3,2009,HOU
WAS,21,24,6,2009,WAS
LAL,20,26,1,2009,LAL
PHI,20,24,1,2009,PHI
NOH,16,26,1,2009,NOH
MEM,20,27,4,2009,MEM
LAC,22,25,4,2009,LAC
DAL,20,25,2,2009,DAL
ORL,19,26,3,2009,ORL
PHX,20,29,4,2009,PHX
IND,22,30,4,2009,IND
